Line No.,Bus No. 1,Bus No. 2,R (Resistance),X (Reactance),Rating MVA
109,54,55,0.035,0.103,100
110,55,57,0.065,0.169,100
111,57,58,0.046,0.08,100
112,57,63,0.159,0.537,100
113,58,59,0.009,0.026,100
114,59,61,0.002,0.013,100
115,60,62,0.009,0.065,100
116,62,64,0.016,0.105,100
117,62,144,0.001,0.007,100
118,63,526,0.0265,0.172,100
119,69,211,0.051,0.232,100
120,69,79,0.051,0.157,100
121,70,71,0.032,0.1,100
122,70,528,0.02,0.1234,100
123,71,72,0.036,0.131,100
124,71,73,0.034,0.099,100
125,72,77,0.018,0.087,100
126,72,531,0.0256,0.193,100
127,73,76,0.021,0.057,100
128,73,79,0.018,0.052,100
129,74,88,0.004,0.027,100
130,74,562,0.0286,0.2013,100
131,76,77,0.016,0.043,100
132,77,78,0.001,0.006,100
133,77,80,0.014,0.07,100
134,77,552,0.0891,0.2676,100
135,77,609,0.0782,0.2127,100
136,78,79,0.006,0.022,100
137,78,84,0,0.036,100
138,79,211,0.099,0.375,100
139,80,211,0.022,0.107,100
140,81,194,0.0035,0.033,100
141,81,195,0.0035,0.033,100
142,85,86,0.008,0.064,100
143,86,87,0.012,0.093,100
144,86,323,0.006,0.048,100
145,89,91,0.047,0.119,100
146,90,92,0.032,0.174,100
147,91,94,0.1,0.253,100
148,91,97,0.022,0.077,100
149,92,103,0.019,0.144,100
150,92,105,0.017,0.092,100
151,94,97,0.278,0.427,100
152,97,100,0.022,0.053,100
153,97,102,0.038,0.092,100
154,97,103,0.048,0.122,100
155,98,100,0.024,0.064,100
156,98,102,0.034,0.121,100
157,99,107,0.053,0.135,100
158,99,108,0.002,0.004,100
159,99,109,0.045,0.354,100
160,99,110,0.05,0.174,100
161,100,102,0.016,0.038,100
162,102,104,0.043,0.064,100
163,103,105,0.019,0.062,100
164,104,108,0.076,0.13,100
165,104,322,0.044,0.124,100
166,105,107,0.012,0.088,100
167,105,110,0.157,0.4,100
168,108,324,0.074,0.208,100
169,109,110,0.07,0.184,100
170,109,113,0.1,0.274,100
171,109,114,0.109,0.393,100
172,110,112,0.142,0.404,100
173,112,114,0.017,0.042,100
174,115,122,0.0036,0.0199,100
175,116,120,0.002,0.1049,100
176,117,118,0.0001,0.0018,100
177,118,119,0,0.0271,100
178,118,1201,0,0.6163,100
179,1201,120,0,-0.3697,100
180,118,121,0.0022,0.2915,100
181,119,120,0,0.0339,100
182,119,121,0,0.0582,100
183,122,123,0.0808,0.2344,100
184,122,125,0.0965,0.3669,100
185,123,124,0.036,0.1076,100
186,123,125,0.0476,0.1414,100
187,125,126,0.0006,0.0197,100
188,126,127,0.0059,0.0405,100
189,126,129,0.0115,0.1106,100
190,126,132,0.0198,0.1688,100
191,126,157,0.005,0.05,100
192,126,158,0.0077,0.0538,100
193,126,169,0.0165,0.1157,100
194,127,128,0.0059,0.0577,100
195,127,134,0.0049,0.0336,100
196,127,168,0.0059,0.0577,100
197,128,130,0.0078,0.0773,100
198,128,133,0.0026,0.0193,100
199,129,130,0.0076,0.0752,100
200,129,133,0.0021,0.0186,100
201,130,132,0.0016,0.0164,100
202,130,151,0.0017,0.0165,100
203,130,167,0.0079,0.0793,100
204,130,168,0.0078,0.0784,100
205,133,137,0.0017,0.0117,100
206,133,168,0.0026,0.0193,100
207,133,169,0.0021,0.0186,100
208,133,171,0.0002,0.0101,100
209,134,135,0.0043,0.0293,100
210,134,184,0.0039,0.0381,100
211,135,136,0.0091,0.0623,100
212,136,137,0.0125,0.089,100
213,136,152,0.0056,0.039,100
214,137,140,0.0015,0.0114,100
215,137,181,0.0005,0.0034,100
216,137,186,0.0007,0.0151,100
217,137,188,0.0005,0.0034,100
218,139,172,0.0562,0.2248,100
219,140,141,0.012,0.0836,100
220,140,142,0.0152,0.1132,100
221,140,145,0.0468,0.3369,100
222,140,146,0.043,0.3031,100
223,140,147,0.0489,0.3492,100
224,140,182,0.0013,0.0089,100
225,141,146,0.0291,0.2267,100
226,142,143,0.006,0.057,100
227,143,145,0.0075,0.0773,100
228,143,149,0.0127,0.0909,100
229,145,146,0.0085,0.0588,100
230,145,149,0.0218,0.1511,100
231,146,147,0.0073,0.0504,100
232,148,178,0.0523,0.1526,100
233,148,179,0.1371,0.3919,100
234,152,153,0.0137,0.0957,100
235,153,161,0.0055,0.0288,100
236,154,156,0.1746,0.3161,100
237,154,183,0.0804,0.3054,100
238,155,161,0.011,0.0568,100
239,157,159,0.0008,0.0098,100
240,158,159,0.0029,0.0285,100
241,158,160,0.0066,0.0448,100
242,162,164,0.0024,0.0326,100
243,162,165,0.0018,0.0245,100
244,163,164,0.0044,0.0514,100
245,165,166,0.0002,0.0123,100
246,167,169,0.0018,0.0178,100
247,172,173,0.0669,0.4843,100
248,172,174,0.0558,0.221,100
249,173,174,0.0807,0.3331,100
250,173,175,0.0739,0.3071,100
251,173,176,0.1799,0.5017,100
252,175,176,0.0904,0.3626,100
253,175,179,0.077,0.3092,100
254,176,177,0.0251,0.0829,100
255,177,178,0.0222,0.0847,100
256,178,179,0.0498,0.1855,100
257,178,180,0.0061,0.029,100
258,181,138,0.0004,0.0202,100
259,181,187,0.0004,0.0083,100
260,184,185,0.0025,0.0245,100
261,186,188,0.0007,0.0086,100
262,187,188,0.0007,0.0086,100
263,188,138,0.0004,0.0202,100
264,189,208,0.033,0.095,100
265,189,209,0.046,0.069,100
266,190,231,0.0004,0.0022,100
267,190,240,0,0.0275,100
268,191,192,0.003,0.048,100
269,192,225,0.002,0.009,100
270,193,205,0.045,0.063,100
271,193,208,0.048,0.127,100
272,194,219,0.0031,0.0286,100
273,194,664,0.0024,0.0355,100
274,195,219,0.0031,0.0286,100
275,196,197,0.014,0.04,100
276,196,210,0.03,0.081,100
277,197,198,0.01,0.06,100
278,197,211,0.015,0.04,100
279,198,202,0.332,0.688,100
280,198,203,0.009,0.046,100
281,198,210,0.02,0.073,100
282,198,211,0.034,0.109,100
283,199,200,0.076,0.135,100
284,199,210,0.04,0.102,100
285,200,210,0.081,0.128,100
286,201,204,0.124,0.183,100
287,203,211,0.01,0.059,100
288,204,205,0.046,0.068,100
289,205,206,0.302,0.446,100
290,206,207,0.073,0.093,100
291,206,208,0.24,0.421,100
292,212,215,0.0139,0.0778,100
293,213,214,0.0025,0.038,100
294,214,215,0.0017,0.0185,100
295,214,242,0.0015,0.0108,100
296,215,216,0.0045,0.0249,100
297,216,217,0.004,0.0497,100
298,217,218,0,0.0456,100
299,217,219,0.0005,0.0177,100
300,217,220,0.0027,0.0395,100
301,219,237,0.0003,0.0018,100
302,220,218,0.0037,0.0484,100
303,220,221,0.001,0.0295,100
304,220,238,0.0016,0.0046,100
305,221,223,0.0003,0.0013,100
306,222,237,0.0014,0.0514,100
307,224,225,0.01,0.064,100
308,224,226,0.0019,0.0081,100
309,225,191,0.001,0.061,100
310,226,231,0.0005,0.0212,100
311,227,231,0.0009,0.0472,100
312,228,229,0.0019,0.0087,100
313,228,231,0.0026,0.0917,100
314,228,234,0.0013,0.0288,100
315,229,190,0,0.0626,100
316,231,232,0.0002,0.0069,100
317,231,237,0.0001,0.0006,100
318,232,233,0.0017,0.0485,100
319,234,235,0.0002,0.0259,100
320,234,237,0.0006,0.0272,100
321,235,238,0.0002,0.0006,100
322,241,237,0.0005,0.0154,100
323,240,281,0.0003,0.0043,100
324,242,245,0.0082,0.0851,100
325,242,247,0.0112,0.0723,100
326,243,244,0.0127,0.0355,100
327,243,245,0.0326,0.1804,100
328,244,246,0.0195,0.0551,100
329,245,246,0.0157,0.0732,100
330,245,247,0.036,0.2119,100
331,246,247,0.0268,0.1285,100
332,247,248,0.0428,0.1215,100
333,248,249,0.0351,0.1004,100
334,249,250,0.0616,0.1857,100
335,3,1,0,0.052,100
336,3,2,0,0.052,100
337,3,4,0,0.005,100
338,7,5,0,0.039,100
339,7,6,0,0.039,100
340,10,11,0,0.089,100
341,12,10,0,0.053,100
342,15,17,0.0194,0.0311,100
343,16,15,0.001,0.038,100
344,21,20,0,0.014,100
345,24,23,0,0.064,100
346,36,35,0,0.047,100
347,45,44,0,0.02,100
348,45,46,0,0.021,100
349,62,61,0,0.059,100
350,63,64,0,0.038,100
351,73,74,0,0.0244,100
352,81,88,0,0.02,100
353,85,99,0,0.048,100
354,86,102,0,0.048,100
355,87,94,0,0.046,100
356,114,207,0,0.149,100
357,116,124,0.0052,0.0174,100
358,121,115,0,0.028,100
359,122,157,0.0005,0.0195,100
360,130,131,0,0.018,100
361,130,150,0,0.014,100
362,132,170,0.001,0.0402,100
363,141,174,0.0024,0.0603,100
364,142,175,0.0024,0.0498,100
365,143,144,0,0.0833,100
366,143,148,0.0013,0.0371,100
367,145,180,0.0005,0.0182,100
368,151,170,0.001,0.0392,100
369,153,183,0.0027,0.0639,100
370,155,156,0.0008,0.0256,100
371,159,117,0,0.016,100
372,160,124,0.0012,0.0396,100
373,163,137,0.0013,0.0384,100
374,164,155,0.0009,0.0231,100
375,182,139,0.0003,0.0131,100
376,189,210,0,0.252,100
377,193,196,0,0.237,100
378,195,212,0.0008,0.0366,100
379,200,248,0,0.22,100
380,201,69,0,0.098,100
381,202,211,0,0.128,100
382,204,2040,0.02,0.204,100
383,209,198,0.026,0.211,100
384,211,212,0.003,0.0122,100
385,218,219,0.001,0.0354,100
386,223,224,0.0012,0.0195,100
387,229,230,0.001,0.0332,100
388,234,236,0.0005,0.016,100
389,238,239,0.0005,0.016,100
390,196,2040,0.0001,0.02,100
391,119,1190,0.001,0.023,100
392,120,1200,0,0.023,100
393,7002,2,0.001,0.0146,100
394,7003,3,0,0.01054,100
395,7061,61,0,0.0238,100
396,7062,62,0,0.03214,100
397,7166,166,0,0.0154,100
398,7024,24,0,0.0289,100
399,7001,1,0,0.01953,100
400,7130,130,0,0.0193,100
401,7011,11,0,0.01923,100
402,7023,23,0,0.023,100
403,7049,49,0,0.0124,100
404,7139,139,0,0.0167,100
405,7012,12,0,0.0312,100
406,7017,17,0,0.01654,100
407,7039,39,0,0.03159,100
408,7057,57,0,0.05347,100
409,7044,44,0,0.18181,100
410,7055,55,0,0.19607,100
411,7071,71,0,0.06896,100
