
Gurobi 9.5.2 (win64) logging started Mon Mar 27 23:45:11 2023

Set parameter LogFile to value "2023-03-27_20hr-25min-09sec/Nodes30_Arcs55_LocNodes22/Formulation-1Instance-5.log"
Set parameter TimeLimit to value 600
Set parameter IntFeasTol to value 1e-09
Set parameter DualReductions to value 0
Set parameter NonConvex to value 2
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 138 rows, 244 columns and 538 nonzeros
Model fingerprint: 0x542ddc62
Model has 22 quadratic objective terms
Model has 85 SOS constraints
Variable types: 222 continuous, 22 integer (22 binary)
Coefficient statistics:
  Matrix range     [5e-02, 2e+02]
  Objective range  [3e+00, 2e+02]
  QObjective range [2e+00, 2e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [2e-02, 2e+03]
Presolve removed 1 rows and 1 columns
Presolve time: 0.00s
Presolved: 182 rows, 267 columns, 649 nonzeros
Presolved model has 84 SOS constraint(s)
Presolved model has 22 bilinear constraint(s)
Variable types: 245 continuous, 22 integer (22 binary)

Root relaxation: unbounded, 102 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 613316  4809  postponed   67               -          -      -  27.8  335s
 622816  4764 infeasible   54               -          -      -  27.8  340s
 632699  4657  postponed   51               -          -      -  27.8  345s
 642556  4615 infeasible   65               -          -      -  27.7  350s
 652272  4601  postponed   55               -          -      -  27.6  355s
 661682  4582 infeasible   54               -          -      -  27.6  360s
 670336  4777  postponed   65               -          -      -  27.6  365s
 679634  4921  postponed   52               -          -      -  27.6  370s
 688289  4885 infeasible   44               -          -      -  27.7  375s
 696317  4892  postponed   53               -          -      -  27.7  380s
 704903  4748  postponed   51               -          -      -  27.7  385s
 713050  4659  postponed   51               -          -      -  27.8  390s
 722131  4588  postponed   41               -          -      -  27.7  395s
 730120  4434 infeasible   61               -          -      -  27.8  400s
 739231  4504  postponed   56               -          -      -  27.8  405s
 749306  4397  postponed   56               -          -      -  27.9  410s
 759777  4435  postponed   41               -          -      -  27.8  415s
 769097  4465 infeasible   50               -          -      -  27.9  420s
 777752  4402 infeasible   44               -          -      -  27.8  425s
 787740  4512  postponed   53               -          -      -  27.8  430s
 797582  4582  postponed   50               -          -      -  27.8  435s
 805511  4592 infeasible   66               -          -      -  27.8  440s
 815145  4338  postponed   52               -          -      -  27.8  445s
 823357  4234  postponed   49               -          -      -  27.9  450s
 831710  4222 infeasible   44               -          -      -  27.9  455s
 841889  4368  postponed   52               -          -      -  27.9  460s
 850611  4611  postponed   45               -          -      -  27.9  465s
 859605  4709 infeasible   48               -          -      -  27.9  470s
 868882  4743 infeasible   46               -          -      -  28.0  475s
 877749  4771 infeasible   59               -          -      -  28.0  480s
 885775  4558 infeasible   46               -          -      -  28.0  485s
 895527  4503 infeasible   57               -          -      -  28.0  490s
 906074  4431  postponed   49               -          -      -  28.0  495s
 914446  4378 infeasible   51               -          -      -  28.0  500s
 922681  4385 infeasible   55               -          -      -  28.0  505s
 930722  4460  postponed   59               -          -      -  28.1  510s
 938946  4388  postponed   48               -          -      -  28.1  515s
 947643  4330 infeasible   59               -          -      -  28.1  520s
 956287  4204 infeasible   46               -          -      -  28.1  525s
 964366  4417 infeasible   52               -          -      -  28.2  530s
 973924  4674 infeasible   61               -          -      -  28.2  535s
 982398  4664  postponed   55               -          -      -  28.2  540s
 990680  4630 infeasible   57               -          -      -  28.3  545s
 1000217  4515 infeasible   56               -          -      -  28.3  550s
 1008392  4464 infeasible   52               -          -      -  28.4  555s
 1016737  4407  postponed   50               -          -      -  28.4  560s
 1025075  4485 infeasible   56               -          -      -  28.5  565s
 1033358  4531  postponed   42               -          -      -  28.5  570s
 1040541  4541 infeasible   56               -          -      -  28.6  575s
 1049897  4329 infeasible   55               -          -      -  28.6  580s
 1058415  4291 infeasible   53               -          -      -  28.7  585s
 1066796  4216  postponed   47               -          -      -  28.7  590s
 1075184  4212  postponed   49               -          -      -  28.8  595s
 1083555  4228  postponed   55               -          -      -  28.8  600s

Explored 1083930 nodes (31233312 simplex iterations) in 600.01 seconds (163.45 work units)
Thread count was 8 (of 8 available processors)

Solution count 0

Time limit reached
Best objective -, best bound -, gap -

User-callback calls 2170389, time in user-callback 22.24 sec
